RESOLUÃÃO,CTT,UNNAMED: 2,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,SITUAÃÃO
08/01/2025,221219,2.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
10/01/2025,209920,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,209362,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,MARIA BRUNA,RESOLVIDO
14/01/2025,222251,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VITORIA,RESOLVIDO
16/01/2025,211121,1.0,50% A 80%,ATIVO,ADRIANO,OMNI,IZABEL,RESOLVIDO
17/01/2025,210186,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,JULIANA,RESOLVIDO
17/01/2025,210500,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,MONYZA,RESOLVIDO
17/01/2025,215888,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,JULIA,RESOLVIDO
21/01/2025,208377,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,JULIA,RESOLVIDO
20/01/2025,176171,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,MONYZA,RESOLVIDO
06/01/2025,224484,2.0,VALORES,RECEPTIVO,ADRIANO,OMNI,FABIANA,RESOLVIDO
13/01/2025,121146,2.0,VERIFICAR CAMPANHA,ATIVO,LEANDRO,BV FINANCEIRA,FABIANA,RESOLVIDO
17/01/2025,201456,1.0,valores,ATIVO,LEANDRO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
02/01/2025,166738,1.0,50% A 80%,ATIVO,ADRIANO,ITAÃ,VITORIA,RESOLVIDO
02/01/2025,187816,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
02/01/2025,195975,1.0,50% A 80%,ATIVO,ADRIANO,ITAÃ,VITORIA,RESOLVIDO
02/01/2025,201250,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VICTOR ADRIANO,RESOLVIDO
02/01/2025,201824,1.0,50% A 80%,ATIVO,ADRIANO,ITAÃ,LETICIA,RESOLVIDO
02/01/2025,205148,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
02/01/2025,207670,2.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VITORIA,RESOLVIDO
02/01/2025,210910,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,BRUNO MARIANO,RESOLVIDO
03/01/2025,174600,2.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,FABIANA,RESOLVIDO
03/01/2025,111878,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,BRUNO MARIANO,RESOLVIDO
03/01/2025,154135,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,174326,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,VITORIA,RESOLVIDO
03/01/2025,186349,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,186413,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,189808,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,191539,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,193109,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,198215,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,199250,1.0,"R$ 6.000,00",ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,199922,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,BRUNO MARIANO,RESOLVIDO
03/01/2025,202911,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,BRUNO MARIANO,RESOLVIDO
03/01/2025,204169,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VITORIA,RESOLVIDO
03/01/2025,206639,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,BRUNO MARIANO,RESOLVIDO
03/01/2025,207342,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VICTOR ADRIANO,RESOLVIDO
07/01/2025,189055,1.0,50% A 80%,ATIVO,ADRIANO,OMNI,JULIANA,RESOLVIDO
06/01/2025,171531,2.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,EDIANE,RESOLVIDO
06/01/2025,100675,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,MARIA BRUNA,RESOLVIDO
07/01/2025,102281,1.0,50% A 80%,ATIVO,ADRIANO,OMNI,MONYZA,RESOLVIDO
07/01/2025,105381,1.0,50% A 80%,ATIVO,ADRIANO,OMNI,EDIANE,RESOLVIDO
07/01/2025,106141,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,KATIA,RESOLVIDO
07/01/2025,111181,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,GREICY,RESOLVIDO
07/01/2025,134628,1.0,50% A 80%,ATIVO,ADRIANO,VOLKSWAGEN,IZABEL,RESOLVIDO
07/01/2025,139785,2.0,50% A 80%,ATIVO,ADRIANO,RENNER,ITAYNNARA,RESOLVIDO
07/01/2025,139996,1.0,50% A 80%,ATIVO,ADRIANO,VOLKSWAGEN,ITAYNNARA,RESOLVIDO
07/01/2025,148915,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,,RESOLVIDO
06/01/2025,154027,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,KATIA,RESOLVIDO
07/01/2025,154258,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,JULIA,RESOLVIDO
07/01/2025,168854,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,FABIANA,RESOLVIDO
07/01/2025,169586,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,MARIA BRUNA,RESOLVIDO
06/01/2025,171531,2.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,MARIA BRUNA,RESOLVIDO
07/01/2025,172480,1.0,50% A 80%,ATIVO,ADRIANO,OMNI,,RESOLVIDO
07/01/2025,173917,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,EDIANE,RESOLVIDO
07/01/2025,174867,1.0,50% A 80%,ATIVO,ADRIANO,VOLKSWAGEN,JULIA,RESOLVIDO
06/01/2025,176402,1.0,50% A 80%,ATIVO,ADRIANO,OMNI,JULIANA,RESOLVIDO
07/01/2025,181722,2.0,50% A 80%,ATIVO,ADRIANO,ITAÃ,MONYZA,RESOLVIDO
